,Unnamed: 0,dataset,size,type,task,#columns,ave_rows_with_missing_values_ratio_per_window,max_rows_with_missing_values_ratio_per_window,total_rows_with_missing_values_ratio,overall missing value ratio,overall average null columns ratio,average null columns ratio among all windows,max average #null columns ratio among all windows,average missing value ratio among all windows,max missing value ration among all windows,IForest_ave_anomaly_ratio,IForest_max_anomaly_ratio,ECOD_ave_anomaly_ratio,ECOD_max_anomaly_ratio,mean_ave_anomaly_ratio,max_ave_anomaly_ratio,ECOD_overall_anomaly_ratio,IForest_overall_anomaly_ratio,ave_overall_anomaly_ratio,hdddm_drift_percentage,kdq_drift_percentage,ave_drift_percentage,hdddm_warning_percentage,kdq_warning_percentage,ave_warning_percentage,ks_ave_drift_percentage,ks_max_drift_percentage,hdddm_ave_drift_percentage,hdddm_max_drift_percentage,kdq_ave_drift_percentage,kdq_max_drift_percentage,cbdb_ave_drift_percentage,cbdb_max_drift_percentage,pca_ave_drift_percentage,pca_max_drift_percentage,ave_drift_percentage.1,max_drift_percentage,ks_ave_warning_percentage,ks_max_warning_percentage,hdddm_ave_warning_percentage,hdddm_max_warning_percentage,kdq_ave_warning_percentage,kdq_max_warning_percentage,cbdb_ave_warning_percentage,cbdb_max_warning_percentage,pca_ave_warning_percentage,pca_max_warning_percentage,ave_warning_percentage.1,max_warning_percentage,perm,adwin,ddm,eddm,concept_drift_ave,adwin_warning,ddm_warning,eddm_warning,ave_concept_drift_warning
10,12,dataset_experiment_info/beijing_multisite/huairou,35064,ecology,regression,18,0.096354167,0.376388889,0.0957107,0.011859267,0.011859267,0.011889146,0.102237654,0.011889146,0.102237654,0.013078704,0.101388889,0,0,0.006309102,0.050694444,0,0.012890714,0.006445357,0.361702128,1,0.263790386,0,0,0.00177305,0.351457841,1,0.29393223,0.617021277,0.114263199,0.957446809,0.295508274,0.595744681,0,0,0.263790386,1,0.007092199,0.063829787,0,0,0,0,0,0,0,0,0.00177305,0.063829787,0.255319149,0,0.009987188,0,0.003329063,0,0,0,0
11,13,dataset_experiment_info/beijing_multisite/nongzhanguan,35064,ecology,regression,18,0.055584491,0.355555556,0.055612594,0.006480214,0.006480214,0.006365741,0.028626543,0.006365741,0.028626543,0.016145833,0.095833333,0,0,0.008008274,0.047916667,0,0.015913758,0.007956879,0.361702128,1,0.270291568,0,0,0.005910165,0.357762017,1,0.305752561,0.638297872,0.120567376,0.957446809,0.297084318,0.595744681,0,0,0.270291568,1,0.023640662,0.234042553,0,0,0,0,0,0,0,0,0.005910165,0.234042553,0.340425532,0,0.009987188,0,0.003329063,0,0,0,0
12,14,dataset_experiment_info/beijing_multisite/changping,35064,ecology,regression,18,0.068460648,0.483333333,0.067961442,0.008185033,0.008185033,0.00817419,0.050617284,0.00817419,0.050617284,0.012297454,0.097222222,0,0,0.005998818,0.048611111,0,0.012149213,0.006074606,0.361702128,1,0.285657998,0,0,0.003743105,0.41607565,1,0.309692671,0.531914894,0.119779354,0.978723404,0.297084318,0.553191489,0,0,0.285657998,1,0.014972419,0.063829787,0,0,0,0,0,0,0,0,0.003743105,0.063829787,0.181818182,0,0.009967051,0,0.00332235,0,0,0,0
13,15,dataset_experiment_info/beijing_multisite/dingling,35064,ecology,regression,18,0.108391204,0.886111111,0.107175451,0.011114597,0.011114597,0.011209169,0.068518519,0.011209169,0.068518519,0.013454861,0.088888889,0,0,0.00660461,0.044444444,0,0.013261465,0.006630732,0.361702128,1,0.286052009,0,0,0.003349094,0.42001576,1,0.310480693,0.659574468,0.107171001,0.978723404,0.306540583,0.553191489,0,0,0.286052009,1,0.013396375,0.063829787,0,0,0,0,0,0,0,0,0.003349094,0.063829787,0.425531915,0,0.009987188,0,0.003329063,0,0,0,0
14,16,dataset_experiment_info/beijing_multisite/aotizhongxin,35064,ecology,regression,18,0.093344907,0.388888889,0.092659138,0.011520204,0.011520204,0.011532279,0.119675926,0.011532279,0.119675926,0.012413194,0.075,0,0,0.006102246,0.0375,0,0.012234771,0.006117385,0.340425532,1,0.280929866,0,0,0.00748621,0.410559496,1,0.297084318,0.595744681,0.123719464,0.957446809,0.292356186,0.531914894,0,0,0.280929866,1,0.029944838,0.14893617,0,0,0,0,0,0,0,0,0.00748621,0.14893617,0.446808511,8.74E-05,0.009696017,0,0.003261123,0,0.006609597,0,0.002203199
15,17,dataset_experiment_info/beijing_multisite/dongsi,35064,ecology,regression,18,0.13599537,1,0.134782113,0.012041473,0.012041473,0.01204186,0.063888889,0.01204186,0.063888889,0.015827546,0.155555556,0,0,0.007742317,0.077777778,0,0.015628565,0.007814282,0.404255319,1,0.270094563,0,0,0.006895193,0.355397951,1,0.29787234,0.531914894,0.117415288,0.957446809,0.309692671,0.617021277,0,0,0.270094563,1,0.027580772,0.234042553,0,0,0,0,0,0,0,0,0.006895193,0.234042553,0.382978723,5.82E-05,0.009928954,0,0.003329063,0,0.001048218,0,0.000349406
16,18,dataset_experiment_info/beijing_multisite/shunyi,35064,ecology,regression,18,0.140104167,0.708333333,0.138888889,0.013503879,0.013503879,0.013549704,0.066975309,0.013549704,0.066975309,0.013194444,0.102777778,0,0,0.006589835,0.051388889,0,0.013004791,0.006502396,0.276595745,1,0.273049645,0,0,0.004925138,0.363278172,1,0.315208826,0.617021277,0.107171001,0.978723404,0.306540583,0.574468085,0,0,0.273049645,1,0.019700552,0.085106383,0,0,0,0,0,0,0,0,0.004925138,0.085106383,0.255319149,0,0.009987188,0,0.003329063,0,0,0,0
17,19,dataset_experiment_info/beijing_multisite/guanyuan,35064,ecology,regression,18,0.080034722,0.706944444,0.079882501,0.008364071,0.008364071,0.008201517,0.057638889,0.008201517,0.057638889,0.014930556,0.108333333,0,0,0.007239953,0.054166667,0,0.014715948,0.007357974,0.361702128,1,0.278171789,0,0,0.006501182,0.415287628,1,0.296296296,0.553191489,0.105594957,0.957446809,0.295508274,0.574468085,0,0,0.278171789,1,0.026004728,0.14893617,0,0,0,0,0,0,0,0,0.006501182,0.14893617,0.340425532,0,0.009987188,0,0.003329063,0,0,0,0
18,20,dataset_experiment_info/beijing_multisite/tiantan,35064,ecology,regression,18,0.063368056,0.3875,0.063341319,0.008360902,0.008360902,0.008280285,0.056635802,0.008280285,0.056635802,0.015538194,0.152777778,0,0,0.007579787,0.076388889,0,0.015314853,0.007657426,0.255319149,1,0.26536643,0,0,0.006501182,0.353821907,1,0.298660362,0.553191489,0.110323089,0.957446809,0.298660362,0.617021277,0,0,0.26536643,1,0.026004728,0.234042553,0,0,0,0,0,0,0,0,0.006501182,0.234042553,0.29787234,0,0.009987188,0,0.003329063,0,0,0,0
19,22,dataset_experiment_info/weather_indian_cities/bangalore,11894,ecology,regression,5,0.488613014,0.536986301,0.488565663,0.112796368,0.112796368,0.112722603,0.126575342,0.112722603,0.126575342,0.019434932,0.046575342,0.014041096,0.021917808,0.016526734,0.034246575,0.014040693,0.019337481,0.016689087,0,0,0.155913978,0,0,0.005376344,0.075268817,0.129032258,0.161290323,0.225806452,0,0,0.387096774,1,0,0,0.155913978,0.387096774,0.021505376,0.064516129,0,0,0,0,0,0,0,0,0.005376344,0.064516129,0,0,0.009974846,0,0.003324949,0,0,0,0
